sample_idx,status
0,no_generations
1,no_generations
2,no_generations
3,no_generations
4,no_generations
5,no_generations
6,no_generations
7,no_generations
8,no_generations
9,no_generations
10,no_generations
11,no_generations
12,no_generations
13,no_generations
14,no_generations
15,no_generations
16,no_generations
17,no_generations
18,no_generations
19,no_generations
20,no_generations
21,no_generations
22,no_generations
23,no_generations
24,no_generations
25,no_generations
26,no_generations
27,no_generations
28,no_generations
29,no_generations
30,no_generations
31,no_generations
32,no_generations
33,no_generations
34,no_generations
35,no_generations
36,no_generations
37,no_generations
38,no_generations
39,no_generations
40,no_generations
41,no_generations
42,no_generations
43,no_generations
44,no_generations
45,no_generations
46,no_generations
47,no_generations
48,no_generations
49,no_generations
50,no_generations
51,no_generations
52,no_generations
53,no_generations
54,no_generations
55,no_generations
56,no_generations
57,no_generations
58,no_generations
59,no_generations
60,no_generations
61,no_generations
62,no_generations
63,no_generations
64,no_generations
65,no_generations
66,no_generations
67,no_generations
68,no_generations
69,no_generations
70,no_generations
71,no_generations
72,no_generations
73,no_generations
74,no_generations
75,no_generations
76,no_generations
77,no_generations
78,no_generations
79,no_generations
80,no_generations
81,no_generations
82,no_generations
83,no_generations
84,no_generations
85,no_generations
86,no_generations
87,no_generations
88,no_generations
89,no_generations
90,no_generations
91,no_generations
92,no_generations
93,no_generations
94,no_generations
95,no_generations
96,no_generations
97,no_generations
98,no_generations
99,no_generations
100,no_generations
101,no_generations
102,no_generations
103,no_generations
104,no_generations
105,no_generations
106,no_generations
107,no_generations
108,no_generations
109,no_generations
110,no_generations
111,no_generations
112,no_generations
113,no_generations
114,no_generations
115,no_generations
116,no_generations
117,no_generations
118,no_generations
119,no_generations
120,no_generations
121,no_generations
122,no_generations
123,no_generations
124,no_generations
125,no_generations
126,no_generations
127,no_generations
128,no_generations
129,no_generations
130,no_generations
131,no_generations
